time,temperature
1095,9.827880859
1096,9.734778404
1097,9.790639877
1098,9.716157913
1099,9.734778404
1100,9.716157913
1101,9.548573494
1102,9.567193985
1103,9.511333466
1104,9.306508064
1105,9.250646591
1106,9.306508064
1107,9.176164627
1108,9.213405609
1109,9.027200699
1110,8.934098244
1111,8.915477753
1112,8.80375576
1113,8.561689377
1114,8.524448395
1115,8.43134594
1116,8.412725449
1117,8.207900047
1118,8.26376152
1119,8.133418083
1120,7.909973145
1121,7.872732162
1122,7.891352654
1123,7.779629707
1124,7.46308136
1125,7.500322342
1126,7.518942833
1127,7.314118385
1128,7.22101593
1129,7.127913475
1130,7.03481102
1131,6.978949547
1132,6.829985619
1133,6.662401199
1134,6.569299698
1135,6.401715279
1136,6.234130859
1137,6.289992332
1138,6.122407913
1139,5.898962021
1140,5.880342484
1141,5.675517082
1142,5.619655609
1143,5.396209717
1144,5.247245789
1145,5.154143333
1146,5.02380085
1147,4.986559868
1148,4.763113976
1149,4.632770538
1150,4.446565628
1151,4.390705109
1152,4.334843636
1153,4.130018234
1154,3.981054306
1155,3.738988876
1156,3.534162521
1157,3.403820038
1158,3.329338074
1159,3.143133163
1160,3.01279068
1161,2.882446289
1162,2.696241379
1163,2.379693985
1164,2.119007111
1165,2.323833466
1166,2.100387573
1167,1.821081162
1168,1.783840179
1169,1.485912323
1170,1.430049896
1171,1.243844986
1172,1.113502502
1173,0.945919037
1174,0.722473145
1175,0.592128754
1176,0.51764679
1177,0.294202805
1178,0.08937645
1179,0.08937645
1180,-0.040966034
1181,-0.171310425
1182,-0.208551407
1183,-0.376134872
1184,-0.562339783
1185,-0.711303711
1186,-0.804405212
1187,-0.953369141
1188,-1.009231567
1189,-1.046472549
1190,-1.19543457
1191,-1.269916534
1192,-1.437501907
1193,-1.530603409
1194,-1.493362427
1195,-1.716808319
1196,-2.014736176
1197,-2.014736176
1198,-2.145078659
1199,-2.294042587
1200,-2.46162796
1201,-2.368524551
1202,-2.685071945
1203,-2.852657318
1204,-2.759553909
1205,-2.927139282
1206,-3.057481766
1207,-3.07610321
1208,-3.150585175
1209,-3.31816864
1210,-3.31816864
1211,-3.392650604
1212,-3.50437355
1213,-3.541614532
1214,-3.671957016
1215,-3.802301407
1216,-3.783679962
1217,-3.783679962
1218,-3.969884872
1219,-4.044366837
1220,-3.895402908
1221,-4.062986374
1222,-4.230571747
1223,-4.342294693
1224,-4.062986374
1225,-4.416776657
1226,-4.305053711
1227,-4.193330765
1228,-4.305053711
1229,-4.435396194
1230,-4.435396194
1231,-4.416776657
1232,-4.565740585
1233,-4.472637177
1234,-4.416776657
1235,-4.584360123
1236,-4.454017639
1237,-4.565740585
1238,-4.416776657
1239,-4.472637177
1240,-4.398155212
1241,-4.267812729
1242,-4.547119141
1243,-4.342294693
1244,-4.286432266
