time,pressure
743,146.2038574
744,145.5876465
745,145.0178223
746,144.4099121
747,143.8068848
748,143.3007813
749,142.5673828
750,141.9538574
751,141.3708496
752,140.7387695
753,140.043457
754,139.3063965
755,138.6948242
756,138.1286621
757,137.467041
758,136.8713379
759,136.21875
760,135.625
761,134.9309082
762,134.3476563
763,133.6884766
764,133.026123
765,132.378418
766,131.7490234
767,131.0512695
768,130.2868652
769,129.7556152
770,129.1555176
771,128.4929199
772,127.8098145
773,127.1970215
774,126.5620117
775,125.9123535
776,125.3037109
777,124.6745605
778,124.1191406
779,123.4838867
780,122.9619141
781,122.390625
782,121.7373047
783,121.2128906
784,120.5683594
785,120.0351563
786,119.453125
787,118.8369141
788,118.2302246
789,117.6696777
790,117.1230469
791,116.6337891
792,116.0581055
793,115.467041
794,114.8913574
795,114.2878418
796,113.7526855
797,113.206543
798,112.6022949
799,111.9897461
800,111.4394531
801,110.8759766
802,110.3483887
803,109.8349609
804,109.3193359
805,108.7763672
806,108.2275391
807,107.6630859
808,107.1081543
809,106.5905762
810,106.104248
811,105.6674805
812,105.0686035
813,104.5571289
814,104.0654297
815,103.5563965
816,102.9870605
817,102.4338379
818,101.973877
819,101.4992676
820,100.9445801
821,100.4516602
822,99.98657227
823,99.46166992
824,99.01831055
825,98.5324707
826,97.98803711
827,97.44067383
828,96.94506836
829,96.46557617
830,96.03735352
831,95.57910156
832,95.11962891
833,94.74829102
834,94.23681641
835,93.77172852
836,93.28173828
837,92.70507813
838,92.13598633
839,91.72363281
840,91.30786133
841,90.84643555
842,90.37280273
843,89.99462891
844,89.51171875
845,88.93139648
846,88.52856445
847,88.0402832
848,87.56982422
849,87.10498047
850,86.65112305
851,86.18261719
852,85.73461914
853,85.31323242
854,84.88842773
855,84.43505859
856,83.90625
857,83.42749023
858,82.93359375
859,82.49658203
860,81.96899414
861,81.59936523
862,81.1574707
863,80.81274414
864,80.39575195
865,80.02612305
866,79.63305664
867,79.20703125
868,78.85839844
869,78.44677734
870,78.09204102
871,77.66308594
872,77.39892578
873,77.04492188
874,76.74072266
875,76.39477539
876,76.1027832
877,75.78173828
878,75.42895508
879,75.10888672
880,74.76904297
881,74.48168945
882,74.11230469
883,73.7590332
884,73.4074707
885,73.05932617
886,72.70239258
887,72.30078125
888,71.93920898
889,71.56494141
890,71.17529297
891,70.73950195
892,70.36889648
893,70.00170898
894,69.64355469
895,69.25219727
896,68.92480469
897,68.58129883
898,68.24462891
899,67.88818359
900,67.53320313
901,67.20654297
902,66.8972168
903,66.56469727
904,66.27416992
905,65.9621582
906,65.68237305
907,65.30566406
908,65.046875
909,64.73706055
910,64.44604492
911,64.14160156
912,63.8815918
913,63.5715332
914,63.29248047
915,62.94335938
916,62.68334961
917,62.31054688
918,62.02685547
919,61.70166016
920,61.37744141
921,61.13110352
922,60.80957031
923,60.55639648
924,60.2578125
925,59.92089844
926,59.63037109
927,59.31445313
928,59.07177734
929,58.73364258
930,58.43676758
931,58.03100586
932,57.57421875
933,57.1159668
934,56.72167969
935,56.41503906
936,56.17382813
937,55.87915039
938,55.61816406
939,55.31225586
940,55.03442383
941,54.7746582
942,54.57006836
943,54.2253418
944,53.99194336
945,53.85058594
946,53.60961914
947,53.40039063
948,53.10424805
949,52.89086914
950,52.63769531
951,52.41748047
952,52.17578125
953,51.94091797
954,51.64575195
955,51.38330078
956,51.09887695
957,50.84277344
958,50.57495117
959,50.30932617
960,50.02270508
961,49.73242188
962,49.46508789
963,49.22216797
964,48.96655273
965,48.70947266
966,48.43286133
967,48.20092773
968,47.88549805
969,47.66723633
970,47.3527832
971,47.10351563
972,46.87890625
973,46.64550781
974,46.43310547
975,46.04907227
976,45.87988281
977,45.59863281
978,45.34765625
979,45.18676758
980,44.96533203
981,44.70898438
982,44.48852539
983,44.27758789
984,44.02001953
985,43.77124023
986,43.54394531
987,43.33520508
988,43.09375
989,42.84326172
990,42.63354492
991,42.40063477
992,42.19262695
993,41.9934082
994,41.74365234
995,41.53735352
996,41.30834961
997,41.15869141
998,40.93286133
999,40.66430664
1000,40.44995117
1001,40.26000977
1002,40.06176758
1003,39.79760742
1004,39.59936523
1005,39.41577148
1006,39.17871094
1007,38.96606445
1008,38.76928711
1009,38.61303711
1010,38.36157227
1011,38.16650391
1012,37.95825195
1013,37.77880859
1014,37.57885742
1015,37.37255859
1016,37.20947266
1017,37.04321289
1018,36.82202148
1019,36.65625
1020,36.47583008
1021,36.27539063
1022,36.10009766
1023,35.92895508
1024,35.73803711
1025,35.56274414
1026,35.3815918
1027,35.1953125
1028,35.01147461
1029,34.79394531
1030,34.59228516
1031,34.4621582
1032,34.22973633
1033,34.04052734
1034,33.81494141
1035,33.50415039
1036,33.33032227
1037,33.16967773
1038,32.96655273
1039,32.79516602
1040,32.58740234
1041,32.41699219
1042,32.21386719
1043,32.02514648
1044,31.89208984
1045,31.67163086
1046,31.46435547
1047,31.2956543
1048,31.09082031
1049,30.9387207
1050,30.77148438
1051,30.54785156
1052,30.42797852
1053,30.26293945
1054,30.06201172
1055,29.89697266
1056,29.7109375
1057,29.57861328
1058,29.36962891
1059,29.21142578
1060,29.05297852
1061,28.89794922
1062,28.75170898
1063,28.58276367
1064,28.4675293
1065,28.24291992
1066,28.16870117
1067,28.01123047
1068,27.89135742
1069,27.71044922
1070,27.56665039
1071,27.42382813
1072,27.24267578
1073,27.09326172
1074,26.96533203
1075,26.83544922
1076,26.63867188
1077,26.52954102
1078,26.40649414
1079,26.25634766
1080,26.08007813
1081,25.91577148
1082,25.82763672
1083,25.67407227
1084,25.48803711
1085,25.33984375
1086,25.46972656
1087,26.55786133
1088,27.61694336
1089,28.73046875
1090,29.83520508
1091,30.85546875
1092,32.12915039
1093,33.28808594
1094,34.35498047
1095,35.82763672
1096,37.01586914
1097,38.06494141
1098,39.46118164
1099,40.67700195
1100,41.96801758
1101,43.29882813
1102,44.7097168
1103,46.11425781
1104,47.44067383
1105,48.89477539
1106,50.31152344
1107,51.74121094
1108,53.15258789
1109,54.80053711
1110,56.21850586
1111,57.79541016
1112,59.56201172
1113,61.67041016
1114,63.31469727
1115,64.86669922
1116,66.45605469
1117,68.22973633
1118,69.79931641
1119,71.49975586
1120,73.37133789
1121,75.07666016
1122,76.66967773
1123,78.5324707
1124,80.42236328
1125,82.09008789
1126,83.77929688
1127,85.84008789
1128,87.72900391
1129,89.6953125
1130,91.49584961
1131,93.66821289
1132,95.68823242
1133,97.74755859
1134,99.83813477
1135,101.8632813
1136,103.673584
1137,105.6564941
1138,107.4606934
1139,109.6652832
1140,111.675293
1141,113.6767578
1142,115.8200684
1143,117.7312012
1144,119.796875
1145,122.1425781
1146,124.5007324
1147,126.7414551
1148,128.9230957
1149,131.1943359
1150,133.5744629
1151,135.9245605
1152,137.984375
1153,140.3100586
1154,142.5563965
1155,144.7993164
1156,147.0822754
1157,149.5437012
1158,151.9008789
1159,154.1367188
1160,156.5075684
1161,158.9125977
1162,161.1696777
1163,163.4516602
1164,166.0234375
1165,168.3337402
1166,170.6376953
1167,173.170166
1168,175.7248535
1169,178.2609863
1170,180.8989258
1171,183.6027832
1172,186.3498535
1173,188.9577637
1174,191.4147949
1175,194.0441895
1176,196.4975586
1177,199.0986328
1178,201.8305664
1179,204.9775391
1180,207.5732422
1181,210.2746582
1182,213.1135254
1183,216.0576172
1184,218.9006348
1185,221.8137207
1186,224.9389648
1187,227.6682129
1188,230.6623535
1189,233.8154297
1190,236.8293457
1191,239.9108887
1192,242.9072266
1193,246.0161133
1194,248.9272461
1195,251.592041
1196,254.3337402
1197,257.7980957
1198,260.6767578
1199,263.6252441
1200,266.7163086
1201,269.9648438
1202,273.168457
1203,276.2727051
1204,279.1972656
1205,282.4230957
1206,285.3195801
1207,288.1086426
1208,291.3303223
1209,294.3222656
1210,297.1870117
1211,300.375
1212,303.4831543
1213,306.4919434
1214,309.5639648
1215,312.5205078
1216,315.5891113
1217,318.5827637
1218,321.4799805
1219,324.7961426
1220,327.8928223
1221,330.907959
1222,334.2680664
1223,337.6386719
1224,340.6860352
1225,343.7980957
1226,346.8503418
1227,350.4074707
1228,353.4594727
1229,356.5756836
1230,360.09375
1231,363.1911621
1232,366.3310547
1233,369.8161621
1234,373.3017578
1235,376.6213379
1236,379.9902344
1237,383.1530762
1238,386.6904297
1239,389.871582
1240,393.1015625
1241,396.6147461
1242,400.0021973
1243,403.2072754
1244,406.782959
1245,410.3449707
1246,413.671875
1247,417.0471191
1248,420.375
1249,423.9958496
1250,427.3994141
1251,430.8586426
1252,434.6425781
1253,438.029541
1254,441.4372559
1255,445.0939941
1256,448.796875
1257,452.3999023
1258,456.6691895
1259,460.1955566
1260,464.0576172
1261,467.6220703
1262,471.0898438
1263,475.0114746
1264,478.7207031
1265,482.4960938
1266,486.2702637
1267,490.1010742
1268,493.6384277
1269,497.338623
1270,500.9445801
1271,504.9309082
1272,508.6948242
1273,512.1567383
1274,516.2636719
1275,519.9245605
1276,523.5476074
1277,527.4755859
1278,531.5505371
1279,535.9709473
1280,539.8867188
1281,543.9118652
1282,548.0598145
1283,552.0131836
1284,555.777832
1285,559.6032715
1286,563.5041504
1287,567.2717285
1288,571.3837891
1289,575.6293945
1290,579.8259277
1291,583.979248
1292,588.1918945
1293,592.3083496
1294,596.3630371
1295,600.0385742
1296,604.206543
1297,608.0622559
1298,611.9697266
1299,616.5539551
1300,620.7453613
1301,624.7929688
1302,628.5944824
1303,632.5388184
1304,636.7768555
1305,640.8469238
1306,644.6801758
1307,648.9985352
1308,652.9335938
1309,656.8583984
1310,661.2529297
1311,665.5212402
1312,669.6955566
1313,673.6123047
1314,677.6911621
1315,681.9875488
1316,685.8747559
1317,689.7871094
1318,693.9321289
1319,698.0151367
1320,701.9714355
1321,706.2143555
1322,710.4023438
1323,714.2851563
1324,718.2619629
1325,722.2819824
1326,726.4716797
1327,730.361084
1328,734.3308105
1329,738.5620117
1330,742.6242676
1331,746.5913086
1332,750.9963379
1333,755.5202637
1334,759.859375
1335,764.2214355
1336,768.5600586
1337,773.2824707
1338,777.907959
1339,782.3674316
1340,787.6411133
1341,792.5478516
1342,797.3945313
1343,802.6184082
1344,807.8513184
1345,812.989502
1346,817.8952637
1347,822.604248
1348,827.7441406
1349,832.5253906
1350,837.0146484
1351,841.9440918
1352,846.6601563
1353,851.2392578
1354,855.71875
1355,859.8251953
1356,863.6779785
1357,867.3103027
1358,870.5856934
1359,873.5080566
1360,876.1794434
1361,878.7565918
1362,881.5324707
1363,884.3259277
1364,887.4912109
1365,891.4196777
1366,895.0593262
1367,898.0866699
1368,901.5319824
1369,905.0791016
1370,908.963623
1371,912.5510254
1372,916.576416
1373,921.1254883
1374,925.331543
1375,929.5183105
1376,933.7019043
1377,938.3134766
1378,942.6679688
1379,946.3696289
1380,950.0209961
1381,953.1000977
1382,955.6879883
1383,959.114502
1384,963.9624023
1385,968.7070313
1386,973.1723633
1387,979.2036133
1388,985.0773926
1389,989.4868164
1390,993.3671875
1391,995.6791992
1392,999.3110352
1393,1001.106445
1394,1001.073242
1395,1001.042969
1396,1001.135986
1397,1000.924805
1398,1001.010986
1399,1001.003174
1400,1001.085693
1401,1001.06665
1402,1001.056641
1403,1001.105957
1404,1001.104248
1405,1001.125488
1406,1001.181396
1407,1001.243652
1408,1001.23877
1409,1001.099609
1410,1001.014648
1411,1001.116943
1412,1000.973389
1413,1001.049805
1414,1001.029297
1415,1001.015625
1416,1001.029053
1417,1001.01001
1418,1001.030762
1419,1001.041748
1420,1001.020996
1421,1000.985596
1422,1001.027344
1423,1000.990967
1424,1001.021484
1425,1001.057617
1426,1001.037109
1427,1001.046387
1428,1001.043945
1429,1001.058594
1430,1001.07373
1431,1001.091553
1432,1001.088867
1433,1001.0896
1434,1001.127441
1435,1001.15625
1436,1001.095215
1437,1001.162842
1438,1001.191406
1439,1001.179199
1440,1001.167725
1441,1001.045898
1442,1001.327148
1443,1001.41626
1444,1001.421387
1445,1001.353271
1446,1001.360352
1447,1001.428711
1448,1001.42041
1449,1001.392822
1450,1001.414551
1451,1001.299805
1452,1001.342773
1453,1001.384033
1454,1001.510498
1455,1001.375
1456,1001.473633
1457,1001.4729
1458,1001.282471
1459,1001.508545
1460,1001.488281
1461,1001.501709
1462,1001.470459
1463,1001.486572
1464,1001.499023
1465,1001.485107
1466,1001.465576
1467,1001.538086
1468,1001.510498
1469,1001.548584
1470,1001.514893
1471,1001.530273
1472,1001.546143
1473,1001.472412
1474,1001.590576
1475,1001.573975
1476,1001.572754
1477,1001.554688
1478,1001.583252
1479,1001.53833
1480,1001.578125
1481,1001.635498
1482,1001.621094
1483,1001.616455
1484,1001.625244
1485,1001.643799
1486,1001.650391
1487,1001.605225
1488,1001.603027
1489,1001.633057
1490,1001.663574
1491,1001.676514
1492,1001.575928
1493,1001.699219
1494,1001.74707
1495,1001.706787
1496,1001.719971
1497,1001.705811
1498,1001.643066
1499,1001.721924
1500,1001.768311
1501,1001.664551
1502,1001.693115
1503,1001.70874
1504,1001.744385
1505,1001.733887
1506,1001.726563
1507,1001.780518
1508,1001.747803
1509,1001.776611
1510,1001.766357
1511,1001.751465
1512,1001.703857
1513,1001.702881
1514,1001.725342
1515,1001.730469
1516,1001.751465
1517,1001.696533
1518,1001.765869
1519,1001.750977
1520,1001.777344
1521,1001.758545
1522,1001.761963
1523,1001.802734
1524,1001.72583
1525,1001.757813
1526,1001.776367
1527,1001.779053
1528,1001.741699
1529,1001.642822
1530,1001.698486
1531,1001.707764
1532,1001.729248
1533,1001.763672
1534,1001.726074
1535,1001.758057
1536,1001.709961
1537,1001.76001
1538,1001.776611
1539,1001.767822
1540,1001.769287
1541,1001.809082
1542,1001.805908
1543,1001.915283
1544,1001.766846
1545,1001.807129
1546,1001.797852
1547,1001.795654
1548,1001.826172
1549,1001.910156
1550,1001.886719
1551,1001.823242
1552,1001.918945
1553,1001.849854
1554,1001.835205
1555,1001.918213
1556,1001.840088
1557,1001.84668
1558,1001.709229
1559,1001.86499
1560,1001.846924
1561,1001.87207
1562,1001.898438
1563,1001.846436
1564,1001.875977
1565,1001.81543
1566,1001.874023
1567,1001.865479
1568,1001.870361
1569,1001.852539
1570,1001.866943
1571,1001.853516
1572,1001.729248
1573,1001.888672
1574,1001.922607
1575,1001.905762
1576,1001.860596
1577,1001.89209
1578,1001.922119
1579,1001.863281
1580,1001.927979
1581,1001.910645
1582,1001.901123
1583,1001.872803
1584,1001.903564
1585,1001.858887
1586,1001.925293
1587,1001.925049
1588,1001.937988
1589,1001.975586
1590,1001.946045
1591,1001.918213
1592,1001.952881
1593,1001.96875
1594,1001.892822
1595,1001.988281
1596,1002.00293
1597,1001.968018
1598,1002.003662
1599,1001.958252
1600,1002.005859
1601,1001.993408
1602,1001.969727
1603,1002.029541
1604,1002.030762
1605,1002.016113
1606,1002.04834
1607,1002.028076
1608,1002.010742
1609,1001.977051
1610,1002.008789
1611,1001.988037
1612,1002.02124
1613,1002.046875
1614,1002.082764
1615,1002.119629
1616,1002.064209
1617,1001.919434
1618,1002.018311
1619,1001.977295
1620,1002.06665
1621,1002.101318
1622,1001.986572
1623,1002.020508
1624,1002.026855
1625,1002.092773
1626,1001.941406
1627,1002.010254
1628,1002.026367
1629,1002.080322
1630,1002.039307
1631,1002.058105
1632,1002.120605
1633,1001.991211
1634,1002.133545
1635,1002.067627
1636,1002.10498
1637,1002.091064
1638,1002.121582
1639,1002.0979
1640,1002.058105
1641,1002.137207
1642,1002.08374
1643,1002.092041
1644,1002.094971
1645,1002.05542
1646,1002.10498
1647,1002.124756
1648,1002.14624
1649,1002.136963
1650,1002.144287
1651,1002.13623
1652,1002.146729
1653,1002.165283
1654,1002.152344
1655,1002.219727
1656,1002.179443
1657,1002.177246
1658,1002.122559
1659,1002.103027
1660,1001.955078
1661,1001.989502
1662,1001.960693
1663,1001.983398
1664,1001.851807
1665,1001.989258
1666,1001.876221
1667,1001.907715
1668,1001.923584
1669,1001.971436
1670,1001.943359
1671,1001.966309
1672,1001.925049
1673,1001.97168
1674,1001.951416
1675,1001.944336
1676,1001.936035
1677,1001.966553
1678,1001.962646
